logFC	logCPM	PValue	FDR
gene_2668	-2.47078868683787	4.9977087050939	4.59456679158666e-07	3.02274131025438e-05
gene_3081	-2.43665313657641	5.6304169070185	4.65767558876673e-07	3.05141684088738e-05
gene_2660	-2.41941253910629	5.29811215288267	4.66866776655769e-07	3.05141684088738e-05
gene_998	-2.31929520034768	4.99703112045481	4.69835754517541e-07	3.05181695895319e-05
gene_2458	-2.10447442771889	6.68907379558471	4.71284638267929e-07	3.05181695895319e-05
gene_2289	-2.22074532106845	6.73404281580106	4.72729674972023e-07	3.05181695895319e-05
gene_758	-2.1011220222461	5.70507193473847	4.7538224093238e-07	3.05181695895319e-05
gene_1162	-1.89283671468248	9.11720566331576	4.76016255091512e-07	3.05181695895319e-05
gene_3121	-1.96333750376041	7.48294182478158	4.77604005946065e-07	3.05181695895319e-05
gene_3735	2.15636616075408	5.39875028558925	4.77609354076174e-07	3.05181695895319e-05
